task,algorithm,seed,interactions,mean_max_q,signed_bias,positive_bias,mean_absolute_q_error,goal_success,path_steps,collisions
diagnostic,EQLBPW,0,840,0.5747904181480408,0.5747904181480408,0.5747904181480408,0.5141971260309219,,,
diagnostic,EQLBPW,0,850,0.5701466202735901,0.5701466202735901,0.5701466202735901,0.5090023502707481,,,
diagnostic,EQLBPW,0,860,0.5648242235183716,0.5648242235183716,0.5648242235183716,0.5074219554662704,,,
diagnostic,EQLBPW,0,870,0.5590265393257141,0.5590265393257141,0.5590265393257141,0.5139913707971573,,,
diagnostic,EQLBPW,0,880,0.5885892510414124,0.5885892510414124,0.5885892510414124,0.5266835018992424,,,
diagnostic,EQLBPW,0,890,0.6009339094161987,0.6009339094161987,0.6009339094161987,0.5391843616962433,,,
diagnostic,EQLBPW,0,900,0.5817776322364807,0.5817776322364807,0.5817776322364807,0.5192235335707664,,,
diagnostic,EQLBPW,0,910,0.5895239114761353,0.5895239114761353,0.5895239114761353,0.5116351172327995,,,
diagnostic,EQLBPW,0,920,0.5709905624389648,0.5709905624389648,0.5709905624389648,0.49863871186971664,,,
diagnostic,EQLBPW,0,930,0.5636894106864929,0.5636894106864929,0.5636894106864929,0.4960553050041199,,,
diagnostic,EQLBPW,0,940,0.5484001636505127,0.5484001636505127,0.5484001636505127,0.49540355801582336,,,
diagnostic,EQLBPW,0,950,0.5270819664001465,0.5270819664001465,0.5270819664001465,0.4841128885746002,,,
diagnostic,EQLBPW,0,960,0.5385699272155762,0.5385699272155762,0.5385699272155762,0.4863056018948555,,,
diagnostic,EQLBPW,0,970,0.5644320249557495,0.5644320249557495,0.5644320249557495,0.4994119107723236,,,
diagnostic,EQLBPW,0,980,0.5832487344741821,0.5832487344741821,0.5832487344741821,0.5130773633718491,,,
diagnostic,EQLBPW,0,990,0.6161310076713562,0.6161310076713562,0.6161310076713562,0.5246906280517578,,,
diagnostic,EQLBPW,0,1000,0.6053219437599182,0.6053219437599182,0.6053219437599182,0.5104411244392395,,,
diagnostic,EQLBPW,0,1010,0.6179770827293396,0.6179770827293396,0.6179770827293396,0.5237552523612976,,,
diagnostic,EQLBPW,0,1020,0.64650958776474,0.64650958776474,0.64650958776474,0.5492607951164246,,,
diagnostic,EQLBPW,0,1030,0.6651383638381958,0.6651383638381958,0.6651383638381958,0.5661364272236824,,,
diagnostic,EQLBPW,0,1040,0.6446937322616577,0.6446937322616577,0.6446937322616577,0.5674374401569366,,,
diagnostic,EQLBPW,0,1050,0.6478304862976074,0.6478304862976074,0.6478304862976074,0.5808401256799698,,,
diagnostic,EQLBPW,0,1060,0.6169260740280151,0.6169260740280151,0.6169260740280151,0.559519462287426,,,
diagnostic,EQLBPW,0,1070,0.5501267910003662,0.5501267910003662,0.5501267910003662,0.524739995598793,,,
diagnostic,EQLBPW,0,1080,0.5340916514396667,0.5340916514396667,0.5340916514396667,0.5091083943843842,,,
diagnostic,EQLBPW,0,1090,0.5613834857940674,0.5613834857940674,0.5613834857940674,0.5224879533052444,,,
diagnostic,EQLBPW,0,1100,0.602537989616394,0.602537989616394,0.602537989616394,0.5555485561490059,,,
diagnostic,EQLBPW,0,1110,0.6148148775100708,0.6148148775100708,0.6148148775100708,0.5742275565862656,,,
diagnostic,EQLBPW,0,1120,0.596847414970398,0.596847414970398,0.596847414970398,0.5612897127866745,,,
diagnostic,EQLBPW,0,1130,0.5584279298782349,0.5584279298782349,0.5584279298782349,0.5374140664935112,,,
diagnostic,EQLBPW,0,1140,0.5445407629013062,0.5445407629013062,0.5445407629013062,0.5221145153045654,,,
diagnostic,EQLBPW,0,1150,0.5297513008117676,0.5297513008117676,0.5297513008117676,0.5073340833187103,,,
diagnostic,EQLBPW,0,1160,0.5447481870651245,0.5447481870651245,0.5447481870651245,0.5153667479753494,,,
diagnostic,EQLBPW,0,1170,0.5441939830780029,0.5441939830780029,0.5441939830780029,0.5089419782161713,,,
diagnostic,EQLBPW,0,1180,0.5382692813873291,0.5382692813873291,0.5382692813873291,0.4940750151872635,,,
diagnostic,EQLBPW,0,1190,0.525703489780426,0.525703489780426,0.525703489780426,0.4688652977347374,,,
diagnostic,EQLBPW,0,1200,0.5024126172065735,0.5024126172065735,0.5024126172065735,0.44533833861351013,,,
